WINE_ID,WINE_NM,WINE_REGION_NM,WINE_CAT,WINE_PC
148,Alain Chavy Puligny-Montrachet Les Charmes 2016,"Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,79.99
149,Alain Chavy Puligny-Montrachet Les Folatieres Premier Cru 2016,"Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,104.99
150,Alain Gras Saint-Romain Blanc 2014,"Chardonnay from Burgundy, France",White Wine,38.99
151,Alain Gras Saint-Romain Rouge 2013,"Pinot Noir from Burgundy, France",Red Wine,49.99
152,Alain Jaume Chateauneuf-du-Pape Vieux Terron 2016,"Rhone Red Blends from Chateauneuf-du-Pape, Rhone, France",Red Wine,49.99
153,Alain Jaume Terrasses de Montmirail Gigondas 2016,"Rhone Red Blends from Gigondas, Rhone, France",Red Wine,35.99
154,Alain Jaume Chateau Mazane Vacqueyras 2015,"Rhone Red Blends from Vacqueyras, Rhone, France",Red Wine,33.99
155,Alain Jaume Cotes du Rhone Haut de Brun Rouge 2015,"Rhone Red Blends from Cotes du Rhone, Rhone, France",Red Wine,18.99
156,Alain Jaume Domaine du Clos de Sixte Lirac 2014,"Rhone Red Blends from Lirac, Rhone, France",Red Wine,31.99
157,Alain Jaume Ventoux Les Gelinottes 2014,"Rhone Red Blends from Rhone, France",Red Wine,31.99
158,Alain Jaume Chateau Mazane Vacqueyras 2016,"Rhone Red Blends from Vacqueyras, Rhone, France",Red Wine,29.99
159,Alain Jaume Cotes du Rhone Haut de Brun Rouge 2012,"Rhone Red Blends from Cotes du Rhone, Rhone, France",Red Wine,18.99
160,Alain Jaume Rasteau Les Valats 2015,"Rhone Red Blends from Rasteau, Rhone, France",Red Wine,27.0
161,Alain Jaume Domaine du Clos de Sixte Lirac 2013,"Rhone Red Blends from Lirac, Rhone, France",Red Wine,32.99
162,Alain Jaume Domaine Grand Veneur Lirac Clos de Sixte 2007,"Rhone Red Blends from Lirac, Rhone, France",Red Wine,39.97
163,Alain Jaume Ventoux Les Gelinottes 2015,"Rhone Red Blends from Rhone, France",Red Wine,14.99
164,Alain Voge Cornas Vieilles Vignes 2015,"Syrah/Shiraz from Cornas, Rhone, France",Red Wine,84.99
165,Alain Voge Cornas Les Chailles 2014,"Syrah/Shiraz from Cornas, Rhone, France",Red Wine,54.99
166,Alain Voge Cornas Les Chailles 2015,"Syrah/Shiraz from Cornas, Rhone, France",Red Wine,55.99
167,Alain Voge Cotes Du Rhone Les Peyrouses 2014,"Syrah/Shiraz from Cotes du Rhone, Rhone, France",Red Wine,24.99
168,Alamos Chardonnay 2017,"Chardonnay from Mendoza, Argentina",White Wine,11.99
169,Alamos Cabernet Sauvignon 2017,"Cabernet Sauvignon from Mendoza, Argentina",Red Wine,9.99
170,Alamos Malbec 2017,"Malbec from Mendoza, Argentina",Red Wine,9.99
171,Alamos Malbec Mendoza Seleccion 2016,"Malbec from Mendoza, Argentina",Red Wine,20.0
172,Alamos Red Blend 2017,"Other Red Blends from Mendoza, Argentina",Red Wine,11.99
173,Alamos Torrontes 2017,"Torrontes from Salta, Argentina",White Wine,9.99
174,Albada Old Vines Garnacha 2014,Grenache from Spain,Red Wine,15.99
175,Alban Reva Estate Syrah (1.5 Liter Magnum) 2012,"Syrah/Shiraz from Edna Valley, Central Coast, California",Red Wine,329.97
176,Alban Reva Estate Syrah 2007,"Syrah/Shiraz from Central Coast, California",Red Wine,139.97
177,Alban Lorraine Estate Syrah 2013,"Syrah/Shiraz from Edna Valley, Central Coast, California",Red Wine,299.97
178,Alban Pandora 2013,"Rhone Red Blends from Edna Valley, Central Coast, California",Red Wine,299.97
179,Alban Seymour's Vineyard Syrah 2000,"Syrah/Shiraz from Central Coast, California",Red Wine,349.97
180,Alban Lorraine Estate Syrah 2005,"Syrah/Shiraz from Edna Valley, Central Coast, California",Red Wine,299.97
181,Alban Estate Roussanne (Torn Label) 2009,"Roussanne from Central Coast, California",White Wine,74.97
182,Alban Seymour's Vineyard Syrah 2003,"Syrah/Shiraz from Central Coast, California",Red Wine,364.97
183,Alban Forsythe Vineyard The Mason Mourvedre 2010,"Syrah/Shiraz from Edna Valley, Central Coast, California",Red Wine,229.97
184,Alban Seymour's Vineyard Syrah 2002,"Syrah/Shiraz from Central Coast, California",Red Wine,349.97
185,Alban Pandora 1999,"Rhone Red Blends from Edna Valley, Central Coast, California",Red Wine,239.97
186,Alban Lorraine Estate Syrah 2000,"Syrah/Shiraz from Central Coast, California",Red Wine,299.97
187,Alban Reva Estate Syrah (1.5 Liter Magnum) 2006,"Syrah/Shiraz from Edna Valley, Central Coast, California",Red Wine,649.97
188,Alban Reva Estate Syrah 2006,"Syrah/Shiraz from Central Coast, California",Red Wine,319.97
189,Alban Pandora 2001,"Rhone Red Blends from Edna Valley, Central Coast, California",Red Wine,239.97
190,Alban Forsythe Vineyard The Mason Mourvedre 2011,"Mourvedre from Edna Valley, Central Coast, California",Red Wine,259.97
191,Alban Pandora 2009,"Rhone Red Blends from Edna Valley, Central Coast, California",Red Wine,249.97
192,Albert Bichot Santenay Clos Rousseau Premier Cru 2015,"Pinot Noir from Santenay, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,46.99
193,Albert Bichot Pouilly-Fuisse 2016,"Chardonnay from Pouilly-Fuisse, Maconnais, Burgundy, France",White Wine,33.99
194,Albert Bichot Cote de Nuits Villages 2014,"Pinot Noir from Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,36.99
195,Albert Bichot Secret de Famille Pinot Noir 2015,"Pinot Noir from Burgundy, France",Red Wine,24.99
196,Albert Bichot Fixin Rouge 2015,"Pinot Noir from Fixin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,39.99
197,Albert Bichot Chablis Domaine Long Depaquit 2017,"Chardonnay from Chablis, Burgundy, France",White Wine,25.99
198,Albert Bichot Savigny Les Beaune 2015,"Pinot Noir from Savigny-les-Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,44.99
199,Albert Bichot Cremant de Bourgogne Brut Reserve,"Non-Vintage Sparkling Wine from Burgundy, France",Sparkling & Champagne,26.99
200,Albert Bichot Mercurey 2016,"Pinot Noir from Mercurey, Cote Chalonnaise, Burgundy, France",Red Wine,55.99
201,Albert Bichot Puligny Montrachet 2015,"Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,89.99
202,Albert Bichot Chambolle-Musigny Les Chabiots Premier Cru 2016,"Pinot Noir from Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,139.99
203,Albert Bichot Cremant de Bourgogne Brut Rose,"Rosé Sparkling Wine from Burgundy, France",Sparkling & Champagne,24.99
204,Albert Bichot Chablis Domaine Long-Depaquit La Moutonne 2015,"Chardonnay from Chablis, Burgundy, France",White Wine,158.0
205,Albert Bichot Puligny Montrachet 2016,"Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,89.99
206,Albert Bichot Gevrey-Chambertin Les Evocelles 2013,"Pinot Noir from Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,69.99
207,Albert Bichot Chablis Domaine Long-Depaquit Les Vaillons Premier Cru 2016,"Chardonnay from Chablis, Burgundy, France",White Wine,45.99
208,Albert Bichot Montagny Premier Cru 2014,"Chardonnay from Montagny, Cote Chalonnaise, Burgundy, France",White Wine,32.99
209,Albert Bichot Pommard Les Rugiens Premier Cru Domaine du Pavillon 2016,"Pinot Noir from Pommard, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,129.99
210,Albert Bichot Echezeaux Domaine du Clos Frantin Grand Cru 2014,"Pinot Noir from Flagey-Echezeaux, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,378.99
211,Albert Bichot Bourgogne Vieilles Vignes Pinot Noir 2016,"Pinot Noir from Burgundy, France",Red Wine,19.99
212,Albert Bichot Montagny Premier Cru 2015,"Chardonnay from Montagny, Cote Chalonnaise, Burgundy, France",White Wine,46.99
213,Albert Bichot Chateau de Jarnioux Beaujolais 2017,"Gamay from Beaujolais, Burgundy, France",Red Wine,14.99
214,Albert Bichot Mercurey 2015,"Pinot Noir from Mercurey, Cote Chalonnaise, Burgundy, France",Red Wine,47.99
215,Albert Bichot Gevrey Chambertin Les Murots 2016,"Pinot Noir from Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,85.99
216,"Albert Bichot Cremant de Bourgogne Blanc de Blancs ""Pure""","Non-Vintage Sparkling Wine from Burgundy, France",Sparkling & Champagne,27.99
217,Albert Bichot Bourgogne Vieilles Vignes Chardonnay 2015,"Chardonnay from Burgundy, France",White Wine,18.99
218,Albert Bichot Chablis Domaine Long Depaquit 2016,"Chardonnay from Chablis, Burgundy, France",White Wine,28.99
219,Albert Bichot Vosne Romanee Premier Cru Malconsorts 2016,"Pinot Noir from Vosne-Romanee, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,198.99
220,Albert Bichot Gevrey-Chambertin Les Evocelles 2015,"Pinot Noir from Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,79.99
221,Albert Bichot Chablis Domaine Long-Depaquit La Moutonne 2016,"Chardonnay from Chablis, Burgundy, France",White Wine,154.99
222,Albert Bichot Secret de Famille Chardonnay 2015,"Chardonnay from Burgundy, France",White Wine,23.99
223,Albert Bichot Macon-Villages 2017,"Chardonnay from Macon Villages, Maconnais, Burgundy, France",White Wine,17.99
224,Albert Boxler Riesling 2016,"Riesling from Alsace, France",White Wine,44.99
225,Albert Hertz Riesling 2013,"Riesling from Alsace, France",White Wine,21.99
226,Alberti 154 Malbec 2015,Malbec from Argentina,Red Wine,15.99
227,Albino Rocca Barbaresco 2015,"Nebbiolo from Barbaresco, Piedmont, Italy",Red Wine,41.99
228,Alcance Bravura Red Blend 2013,Bordeaux Red Blends from Chile,Red Wine,50.0
229,Alcance Gran Reserva Carmenere 2015,Carmenere from Chile,Red Wine,22.99
230,Alcance Gran Reserva Chardonnay 2015,Chardonnay from Chile,White Wine,19.99
231,Alcance Gran Reserva Cabernet Sauvignon 2015,Cabernet Sauvignon from Chile,Red Wine,20.99
232,Alcance Gran Reserva Merlot 2014,Merlot from Chile,Red Wine,19.99
233,Alchemist Pinot Noir 2016,"Pinot Noir from Willamette Valley, Oregon",Red Wine,26.99
234,Alchemist Chardonnay 2014,"Chardonnay from Willamette Valley, Oregon",White Wine,25.99
235,Aldo Conterno Conca Tre Pile Barbera d'Alba 2015,"Barbera from Alba, Piedmont, Italy",Red Wine,45.99
236,Aldo Conterno Barolo Bussia 2014,"Nebbiolo from Barolo, Piedmont, Italy",Red Wine,99.0
237,Aldo Conterno Langhe Il Favot Nebbiolo 2015,"Nebbiolo from Piedmont, Italy",Red Wine,59.99
238,Aldo Conterno Colonnello Barolo 2012,"Nebbiolo from Barolo, Piedmont, Italy",Red Wine,149.99
239,Aldo Conterno Colonnello Barolo 2014,"Nebbiolo from Barolo, Piedmont, Italy",Red Wine,175.0
240,Aldo Conterno Barolo Granbussia Riserva 2000,"Nebbiolo from Barolo, Piedmont, Italy",Red Wine,319.97
241,Aldo Conterno Langhe Rosso 2015,"Other Red Blends from Piedmont, Italy",Red Wine,28.99
242,Aldo Conterno Langhe Rosso 2013,"Other Red Blends from Piedmont, Italy",Red Wine,30.0
243,Aldo Conterno Romirasco Barolo 2014,"Nebbiolo from Barolo, Piedmont, Italy",Red Wine,219.99
244,Aldo Conterno Barolo Bussia 2013,"Nebbiolo from Barolo, Piedmont, Italy",Red Wine,79.99
245,Aldo Conterno Langhe Rosso 2014,"Other Red Blends from Piedmont, Italy",Red Wine,29.99
246,Aldo Conterno Langhe Il Favot Nebbiolo 2013,"Nebbiolo from Piedmont, Italy",Red Wine,56.99
247,Alex Gambal Meursault Clos du Cromin 2016,"Chardonnay from Meursault, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,79.99
248,Alex Gambal Charmes-Chambertin Grand Cru 2016,"Pinot Noir from Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,239.99
249,Alex Gambal Puligny-Montrachet 2016,"Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,79.99
